product_id,margin_percentage,product_total_units_sold,product_total_revenue,product_order_frequency,product_average_discount,product_popularity_rank
prod_aa9c466e,33.88,149,24740.93,31,14.024516129032257,1.0
prod_b3825ee4,45.68,40,78367.47,6,17.333333333333332,34.0
prod_587805bf,36.22,47,26276.76,11,11.031818181818181,31.0
prod_54709729,45.46,24,18140.67,6,18.096666666666668,40.0
prod_b572f27a,26.41,87,16938.07,20,15.6585,5.0
prod_cb6fc0eb,20.06,33,18044.379999999997,8,11.89125,36.0
prod_308881b9,43.55,33,40312.54,6,10.321666666666667,36.0
prod_3bcbd935,41.92,33,11957.5,7,12.817142857142857,36.0
prod_86baf995,28.9,68,3056.3199999999997,12,16.668333333333333,15.0
prod_566c0f49,21.71,45,21800.57,10,10.902,32.0
prod_b2f3a8f7,45.58,90,7709.13,15,14.303333333333335,4.0
prod_67da2a8c,22.4,117,51726.94,24,12.299999999999999,2.0
prod_7afc80e5,40.26,62,27307.399999999998,18,12.292222222222222,21.0
prod_039421d7,46.71,53,10488.65,16,11.057500000000001,27.0
prod_971152aa,32.58,60,22970.09,20,14.255500000000001,23.0
prod_bcde7343,26.13,30,2741.82,4,12.3375,37.0
prod_bfb5489d,31.87,82,11328.32,17,13.24,8.0
prod_53e1d316,47.87,67,15216.74,15,11.839333333333334,16.0
prod_81feaa25,49.95,50,30210.4,9,9.91,28.0
prod_71507ccd,35.18,63,30985.08,10,11.664,20.0
prod_c5ca2c8c,46.38,108,42032.23,21,10.796190476190477,3.0
prod_64c08afc,45.01,36,7647.07,8,11.495,35.0
prod_770c0c43,49.62,48,13044.369999999999,12,10.368333333333334,30.0
prod_4f0226fb,36.64,40,4488.42,9,10.661111111111111,34.0
prod_be2be7f1,24.03,42,4701.08,11,10.782727272727273,33.0
prod_e1bddf73,24.66,69,34823.06,10,10.599,14.0
prod_2af333ea,26.11,50,19903.829999999998,10,10.875,28.0
prod_09b423f4,27.53,65,9941.55,17,17.834117647058825,18.0
prod_035d78fc,44.88,74,44037.51,15,13.882000000000001,11.0
prod_4e0ad55a,23.92,69,23756.15,9,12.726666666666667,14.0
prod_24ab3fd0,36.55,56,25698.89,12,11.878333333333332,25.0
prod_f009ca00,48.35,26,21131.54,6,10.505,39.0
prod_b9a67276,45.04,64,7581.29,14,10.468571428571428,19.0
prod_2a053ba0,21.25,86,8979.4,67,12.845074626865673,6.0
prod_ff879477,26.3,66,29655.01,10,12.082,17.0
prod_761255b4,36.8,49,16454.39,16,13.21,29.0
prod_8713c712,27.1,36,41109.340000000004,7,11.677142857142858,35.0
prod_1a600b85,20.74,36,15087.939999999999,11,10.787272727272727,35.0
prod_6bb9d589,32.35,29,6657.75,9,9.621111111111112,38.0
prod_5d2d5599,43.62,71,6231.0199999999995,18,11.03111111111111,12.0
prod_ad64d881,45.76,54,120775.85,11,12.140909090909089,26.0
prod_5aea0ff9,33.81,78,37365.659999999996,16,9.880625,10.0
prod_f24c5a18,39.8,61,18345.22,13,11.420769230769231,22.0
prod_704502ed,22.08,48,21660.79,9,17.14777777777778,30.0
prod_de12acd0,31.99,81,24170.92,13,11.47923076923077,9.0
prod_3cf36411,23.46,59,5256.34,11,10.998181818181818,24.0
prod_582de9a4,49.51,47,23409.2,7,13.68142857142857,31.0
prod_fe300255,30.37,84,38955.08,15,13.193333333333333,7.0
prod_951860a3,35.34,42,12680.23,8,11.91375,33.0
prod_7a535b91,41.26,70,58751.78,14,11.463571428571429,13.0
