approval_id,quotation_id,approval_level,approver_id,status,requested_at,completed_at
app_09ee19c7,quote_5eb73df2,1,mgr_f8580585,APPROVED,2025-10-17 16:50:05.601026,2025-10-18 16:50:05.601026
app_defc06a5,quote_001ce1be,1,mgr_1b1433f0,APPROVED,2025-10-05 23:30:05.601026,2025-10-06 23:30:05.601026
app_42534f6d,quote_d95c5c0b,1,mgr_d3d86a0e,REJECTED,2026-05-01 04:04:05.601026,2026-05-02 04:04:05.601026
app_f525067e,quote_c96f450d,1,mgr_3279cee4,REJECTED,2025-12-14 16:57:05.601026,2025-12-15 16:57:05.601026
app_909232ab,quote_3e751b17,1,mgr_ea43c6fc,APPROVED,2026-08-12 20:36:05.601026,2026-08-13 20:36:05.601026
app_196fdc21,quote_4d361f88,1,mgr_ef5d87a5,APPROVED,2026-07-17 20:46:05.601026,2026-07-18 20:46:05.601026
app_ee4f112c,quote_6cb3440c,1,mgr_65e4fbaa,APPROVED,2026-06-19 12:10:05.601026,2026-06-20 12:10:05.601026
app_6a6e5471,quote_86f48b4e,1,mgr_5a50eae3,REJECTED,2026-05-15 14:38:05.601026,2026-05-16 14:38:05.601026
app_71987853,quote_8720da68,1,mgr_6c17b3fb,REJECTED,2025-10-09 07:54:05.601026,2025-10-10 07:54:05.601026
app_ae3ffcde,quote_4f56533f,1,mgr_8e526943,APPROVED,2026-02-02 01:27:05.601026,2026-02-03 01:27:05.601026
app_dccdd295,quote_7d0eb8da,1,mgr_6888ef0d,APPROVED,2026-02-06 04:43:05.601026,2026-02-07 04:43:05.601026
app_5623a69c,quote_20b21eab,1,mgr_8869f068,APPROVED,2026-04-21 11:23:05.601026,2026-04-22 11:23:05.601026
app_01281e57,quote_61d5236d,1,mgr_11e86503,REJECTED,2026-06-06 22:08:05.601026,2026-06-07 22:08:05.601026
app_f6b3316d,quote_f80c2b39,1,mgr_64c6231a,APPROVED,2026-02-21 22:31:05.601026,2026-02-22 22:31:05.601026
app_526f4dfe,quote_05851d5d,1,mgr_febe3ee7,REJECTED,2026-05-07 21:02:05.601026,2026-05-08 21:02:05.601026
app_31f2d868,quote_a4ae887c,1,mgr_37a09701,REJECTED,2026-01-29 13:08:05.601026,2026-01-30 13:08:05.601026
app_06f7a40d,quote_a52dc623,1,mgr_b4aac556,APPROVED,2025-10-21 11:27:05.601026,2025-10-22 11:27:05.601026
app_45d87a44,quote_d499796c,1,mgr_48de3f2e,APPROVED,2025-09-18 15:17:05.601026,2025-09-19 15:17:05.601026
app_d717a92a,quote_9eeca37f,1,mgr_dbd05e91,REJECTED,2026-04-05 11:20:05.601026,2026-04-06 11:20:05.601026
app_bb1850a8,quote_00db0398,1,mgr_07993ec1,APPROVED,2025-12-25 10:49:05.601026,2025-12-26 10:49:05.601026
app_1ee52714,quote_5b23193f,1,mgr_f2d96f6e,REJECTED,2025-11-29 07:19:05.601026,2025-11-30 07:19:05.601026
app_3f7276d1,quote_81529af2,1,mgr_1a1d6476,APPROVED,2026-05-25 12:12:05.601026,2026-05-26 12:12:05.601026
app_02cc3ab0,quote_3a4f2a95,1,mgr_4f6e94c4,REJECTED,2025-10-29 00:39:05.601026,2025-10-30 00:39:05.601026
app_3def27b2,quote_43b2cc06,1,mgr_7d45867d,APPROVED,2026-07-24 17:26:05.601026,2026-07-25 17:26:05.601026
app_467a46f8,quote_9d925589,1,mgr_967664a7,APPROVED,2026-04-13 06:13:05.601026,2026-04-14 06:13:05.601026
app_cb21d390,quote_3f8b1d43,1,mgr_e789f79a,REJECTED,2026-04-15 18:20:05.601026,2026-04-16 18:20:05.601026
app_17c19a99,quote_c3e95fed,1,mgr_38695479,REJECTED,2026-07-05 00:01:05.601026,2026-07-06 00:01:05.601026
app_288efb5d,quote_b0027d1f,1,mgr_98ff5ab8,APPROVED,2026-08-20 08:29:05.601026,2026-08-21 08:29:05.601026
app_77cfb1cf,quote_70883ad6,1,mgr_2f233fe9,REJECTED,2026-06-06 14:48:05.601026,2026-06-07 14:48:05.601026
app_491d4bca,quote_16bc1afc,1,mgr_519bef87,REJECTED,2026-01-21 02:56:05.601026,2026-01-22 02:56:05.601026
app_876611fc,quote_a7c1bc30,1,mgr_1b002bc5,APPROVED,2026-05-28 16:47:05.601026,2026-05-29 16:47:05.601026
app_dd1da5d9,quote_aa5bbdca,1,mgr_18529d73,REJECTED,2026-02-06 06:09:05.601026,2026-02-07 06:09:05.601026
app_4ed67c73,quote_2d7d8d95,1,mgr_ede90894,REJECTED,2026-05-16 08:41:05.601026,2026-05-17 08:41:05.601026
app_baf47e3b,quote_b5430c20,1,mgr_b9754860,REJECTED,2026-08-22 18:31:05.601026,2026-08-23 18:31:05.601026
app_7f8548c5,quote_d3df0672,1,mgr_d946fc6f,REJECTED,2026-02-08 19:29:05.601026,2026-02-09 19:29:05.601026
app_1b79b10a,quote_4b9f740f,1,mgr_6a13aeef,REJECTED,2025-12-18 05:05:05.601026,2025-12-19 05:05:05.601026
app_37e29c41,quote_f3264bd6,1,mgr_1555e7ef,REJECTED,2025-10-24 07:01:05.601026,2025-10-25 07:01:05.601026
