event_id,quotation_id,event_type,actor_id,actor_type,created_at,metadata
evt_a57f0548,quote_54ef1b58,QUOTE_CREATED,rep_4fd63151,SALES_REP,2025-12-12 12:10:05.601026,{}
evt_b225b13f,quote_54ef1b58,PRODUCT_ADDED,rep_4fd63151,SALES_REP,2025-12-12 12:48:05.601026,{}
evt_2d2a0943,quote_54ef1b58,DISCOUNT_APPLIED,rep_4fd63151,SALES_REP,2025-12-12 13:31:05.601026,{}
evt_a9947a37,quote_54ef1b58,QUOTE_SENT,rep_4fd63151,SALES_REP,2025-12-12 23:31:05.601026,{}
evt_e5b9fa33,quote_54ef1b58,CUSTOMER_VIEWED,rep_4fd63151,SALES_REP,2025-12-13 23:31:05.601026,{}
evt_6577ef9b,quote_54ef1b58,ORDER_CONFIRMED,rep_4fd63151,SALES_REP,2025-12-16 23:31:05.601026,{}
evt_b63a2834,quote_4dfedf73,QUOTE_CREATED,rep_f976f2b3,SALES_REP,2025-10-02 23:10:05.601026,{}
evt_9bc10349,quote_4dfedf73,PRODUCT_ADDED,rep_f976f2b3,SALES_REP,2025-10-03 00:10:05.601026,{}
evt_5eaaadea,quote_4dfedf73,DISCOUNT_APPLIED,rep_f976f2b3,SALES_REP,2025-10-03 00:15:05.601026,{}
evt_165ea409,quote_4dfedf73,QUOTE_SENT,rep_f976f2b3,SALES_REP,2025-10-03 19:15:05.601026,{}
evt_62d92f0c,quote_4dfedf73,CUSTOMER_VIEWED,rep_f976f2b3,SALES_REP,2025-10-06 19:15:05.601026,{}
evt_237a92b9,quote_4dfedf73,ORDER_CONFIRMED,rep_f976f2b3,SALES_REP,2025-10-10 19:15:05.601026,{}
evt_2b49ca41,quote_cf8de099,QUOTE_CREATED,rep_221b7f39,SALES_REP,2026-03-29 21:10:05.601026,{}
evt_b79939a2,quote_cf8de099,PRODUCT_ADDED,rep_221b7f39,SALES_REP,2026-03-29 21:30:05.601026,{}
evt_a346bee0,quote_cf8de099,DISCOUNT_APPLIED,rep_221b7f39,SALES_REP,2026-03-29 21:42:05.601026,{}
evt_ab207037,quote_cf8de099,QUOTE_SENT,rep_221b7f39,SALES_REP,2026-03-30 15:42:05.601026,{}
evt_44176337,quote_cf8de099,CUSTOMER_VIEWED,rep_221b7f39,SALES_REP,2026-04-03 15:42:05.601026,{}
evt_8e1ad01e,quote_cf8de099,REJECTED,rep_221b7f39,SALES_REP,2026-04-10 15:42:05.601026,{}
evt_da316104,quote_4b041447,QUOTE_CREATED,rep_26645e7c,SALES_REP,2026-05-30 18:10:05.601026,{}
