inventory_id,warehouse_id,product_id,available_quantity,reserved_quantity,updated_at
inv_ba3df8b5,wh_e8a64ac1,prod_aa9c466e,10,16,2026-09-05 06:10:05.599779
inv_74821556,wh_e8a64ac1,prod_b3825ee4,483,17,2026-09-05 06:10:05.599779
inv_536141c7,wh_e8a64ac1,prod_587805bf,361,6,2026-09-05 06:10:05.599779
inv_55844b79,wh_e8a64ac1,prod_54709729,196,13,2026-09-05 06:10:05.599779
inv_67c70fe8,wh_e8a64ac1,prod_b572f27a,45,10,2026-09-05 06:10:05.599779
inv_34ea466e,wh_e8a64ac1,prod_cb6fc0eb,329,10,2026-09-05 06:10:05.599779
inv_45a1e7cd,wh_e8a64ac1,prod_308881b9,349,3,2026-09-05 06:10:05.599779
inv_34c4e15e,wh_e8a64ac1,prod_3bcbd935,378,9,2026-09-05 06:10:05.599779
inv_7ee44f7a,wh_e8a64ac1,prod_86baf995,269,9,2026-09-05 06:10:05.599779
inv_ef42f28e,wh_e8a64ac1,prod_566c0f49,351,13,2026-09-05 06:10:05.599779
inv_acdec99f,wh_e8a64ac1,prod_b2f3a8f7,177,12,2026-09-05 06:10:05.599779
inv_ea41c9fd,wh_e8a64ac1,prod_67da2a8c,366,9,2026-09-05 06:10:05.599779
inv_d8dd9dba,wh_e8a64ac1,prod_7afc80e5,293,4,2026-09-05 06:10:05.599779
inv_10e27e83,wh_e8a64ac1,prod_039421d7,108,13,2026-09-05 06:10:05.599779
inv_77e54363,wh_e8a64ac1,prod_971152aa,350,12,2026-09-05 06:10:05.599779
inv_1eb5869a,wh_e8a64ac1,prod_bcde7343,356,5,2026-09-05 06:10:05.599779
inv_bbd17f2b,wh_e8a64ac1,prod_bfb5489d,325,18,2026-09-05 06:10:05.599779
inv_6f6cd6ee,wh_e8a64ac1,prod_53e1d316,164,12,2026-09-05 06:10:05.599779
inv_bc9a46e5,wh_e8a64ac1,prod_81feaa25,290,0,2026-09-05 06:10:05.599779
inv_6defe137,wh_e8a64ac1,prod_71507ccd,165,9,2026-09-05 06:10:05.599779
inv_73a15746,wh_e8a64ac1,prod_c5ca2c8c,117,13,2026-09-05 06:10:05.599779
inv_83864a1c,wh_e8a64ac1,prod_64c08afc,412,18,2026-09-05 06:10:05.599779
