order_item_id,order_id,product_id,quantity,unit_price,discount_percentage
oi_65ab2850,ord_7b2b2265,prod_53e1d316,10,232.17199999999997,10.26
oi_1e9a4304,ord_c2e36065,prod_86baf995,8,46.65625,12.1
oi_12093a71,ord_5d395fca,prod_035d78fc,5,654.028,7.63
oi_5f70d45d,ord_556da0ec,prod_035d78fc,10,412.02299999999997,41.81
oi_6d11e7a9,ord_556da0ec,prod_aa9c466e,2,105.475,45.31
oi_6100cedf,ord_556da0ec,prod_2a053ba0,1,60.39,48.86
oi_1c95f68a,ord_a7928ee7,prod_24ab3fd0,6,451.6233333333333,14.54
oi_a6085a5f,ord_f6719826,prod_7a535b91,7,866.9128571428572,7.89
oi_59ca832a,ord_712cf462,prod_b9a67276,5,120.03800000000001,9.3
oi_6ba81395,ord_712cf462,prod_2a053ba0,1,107.67,8.81
oi_16f6b0f5,ord_8ac1b099,prod_b572f27a,8,213.8975,8.93
oi_1959c00a,ord_07c05d5f,prod_704502ed,5,479.544,14.94
oi_5dcfabf2,ord_1e0e2970,prod_2af333ea,10,423.592,4.98
oi_e195c08d,ord_5f9072b2,prod_bfb5489d,3,149.11333333333332,6.49
oi_17e1038c,ord_c78333f5,prod_ff879477,6,440.19,13.43
oi_44dd6a00,ord_ab1bedb3,prod_5d2d5599,9,87.65666666666667,11.76
oi_af7efbd9,ord_ab1bedb3,prod_5aea0ff9,2,446.375,16.57
oi_432ddd57,ord_7472e0a7,prod_de12acd0,9,307.0811111111111,8.52
oi_a9b32a77,ord_444c7fed,prod_bcde7343,6,87.49833333333333,15.77
oi_5780b978,ord_8489f075,prod_039421d7,2,187.915,15.12
oi_a709b197,ord_77268ebe,prod_b9a67276,10,118.83399999999999,10.21
oi_4e5f74c8,ord_77268ebe,prod_1a600b85,2,413.04,11.61
oi_9301dd9c,ord_77268ebe,prod_5d2d5599,1,92.13,7.26
oi_96fff64a,ord_a25bf153,prod_770c0c43,2,288.705,5.18
oi_5c13041d,ord_84c8957d,prod_7a535b91,3,812.4633333333333,13.68
oi_d62ad12d,ord_7cc3bf0a,prod_b572f27a,6,132.38666666666668,43.64
oi_6a2df2e2,ord_3b24fec8,prod_bcde7343,8,91.5425,11.88
oi_ad6788a0,ord_5d6f69b1,prod_b2f3a8f7,4,93.8025,7.43
oi_4131ce3d,ord_423fa277,prod_5d2d5599,8,87.2,12.22
oi_5802195f,ord_423fa277,prod_761255b4,5,344.62800000000004,8.64
oi_dd299097,ord_db68d998,prod_b9a67276,9,112.05111111111111,15.33
oi_99662679,ord_db68d998,prod_761255b4,1,333.24,11.66
oi_319c8b2f,ord_7a2581bf,prod_b572f27a,8,206.5675,12.05
oi_bd406a4a,ord_e6c0db10,prod_7afc80e5,3,423.67333333333335,15.28
oi_fd1dd930,ord_0c328dcf,prod_2a053ba0,5,103.84,12.06
oi_a106800f,ord_8be4eade,prod_8713c712,1,1243.02,5.16
oi_86237f79,ord_26b08e90,prod_24ab3fd0,4,483.095,8.58
oi_a52f6220,ord_66181dae,prod_8713c712,6,1152.89,12.04
oi_1a82465b,ord_6905e2bf,prod_b9a67276,7,120.52857142857144,8.92
oi_2a4bf093,ord_6905e2bf,prod_aa9c466e,1,162.85,15.56
oi_bce82f0b,ord_6905e2bf,prod_2a053ba0,1,102.71,13.01
oi_bf7e3d20,ord_3aac22a6,prod_71507ccd,8,487.3625,12.56
oi_61bc1d62,ord_3aac22a6,prod_2a053ba0,1,109.01,7.68
oi_b4f1cfe7,ord_348b016d,prod_3bcbd935,4,350.2825,14.98
oi_73ddbe41,ord_397271a5,prod_704502ed,3,512.1533333333333,9.16
oi_561a34e1,ord_397271a5,prod_1a600b85,2,400.32,14.33
oi_e5cf628c,ord_397271a5,prod_2a053ba0,1,99.99,15.32
oi_c7a47839,ord_cac1c271,prod_64c08afc,3,216.05999999999997,9.68
