product_id,product_name,category,selling_price,cost_price,margin_percentage,active
prod_aa9c466e,Conference Chair Stock,Seating,192.86,127.52,33.88,True
prod_b3825ee4,Conference Table Particularly,Office Furniture,2407.95,1308.02,45.68,True
prod_587805bf,Office Desk Policy,Office Furniture,620.3,395.64,36.22,True
prod_54709729,Office Desk Real,Office Furniture,876.27,477.91,45.46,True
prod_b572f27a,Conference Chair Fund,Seating,234.88,172.85,26.41,True
prod_cb6fc0eb,Cubicle Make,Workstations,623.98,498.78,20.06,True
prod_308881b9,Standing Desk Letter,Workstations,1352.19,763.26,43.55,True
prod_3bcbd935,Filing Cabinet Letter,Storage,412.02,239.32,41.92,True
prod_86baf995,Keyboard Tray Republican,Accessories,53.08,37.74,28.9,True
prod_566c0f49,Office Desk Different,Office Furniture,542.11,424.39,21.71,True
prod_b2f3a8f7,Keyboard Tray Much,Accessories,101.33,55.14,45.58,True
prod_67da2a8c,Ergonomic Chair Material,Seating,502.85,390.19,22.4,True
prod_7afc80e5,Ergonomic Chair Student,Seating,500.07,298.76,40.26,True
prod_039421d7,Conference Chair Wear,Seating,221.39,117.98,46.71,True
prod_971152aa,Ergonomic Chair Style,Seating,452.14,304.85,32.58,True
prod_bcde7343,Keyboard Tray Simply,Accessories,103.88,76.74,26.13,True
prod_bfb5489d,Floor Lamp Condition,Lighting,159.47,108.64,31.87,True
prod_53e1d316,Floor Lamp Reason,Lighting,258.72,134.87,47.87,True
prod_81feaa25,Office Desk Become,Office Furniture,674.35,337.49,49.95,True
prod_71507ccd,Office Desk Federal,Office Furniture,557.35,361.29,35.18,True
prod_c5ca2c8c,Conference Chair Myself,Seating,432.9,232.13,46.38,True
prod_64c08afc,Filing Cabinet Record,Storage,239.23,131.55,45.01,True
prod_770c0c43,Floor Lamp Property,Lighting,304.47,153.4,49.62,True
prod_4f0226fb,Desk Lamp President,Lighting,126.37,80.07,36.64,True
prod_be2be7f1,Desk Lamp Government,Lighting,126.81,96.34,24.03,True
prod_e1bddf73,Office Desk Better,Office Furniture,561.12,422.73,24.66,True
prod_2af333ea,Storage Cabinet Tell,Storage,445.79,329.4,26.11,True
prod_09b423f4,Floor Lamp Society,Lighting,194.09,140.65,27.53,True
prod_035d78fc,Office Desk Easy,Office Furniture,708.07,390.29,44.88,True
prod_4e0ad55a,Office Desk Remember,Office Furniture,394.43,300.07,23.92,True
prod_24ab3fd0,Storage Cabinet Force,Storage,528.46,335.31,36.55,True
prod_f009ca00,Cubicle Down,Workstations,904.43,467.12,48.35,True
prod_b9a67276,Desk Lamp Sure,Lighting,132.34,72.74,45.04,True
prod_2a053ba0,Monitor Arm Decide,Accessories,118.08,92.98,21.25,True
prod_ff879477,Storage Cabinet Choice,Storage,508.47,374.73,26.3,True
prod_761255b4,Ergonomic Chair Ago,Seating,377.23,238.42,36.8,True
prod_8713c712,Cubicle Any,Workstations,1310.68,955.46,27.1,True
prod_1a600b85,Ergonomic Chair Election,Seating,467.29,370.35,20.74,True
prod_6bb9d589,Floor Lamp May,Lighting,257.04,173.89,32.35,True
prod_5d2d5599,Desk Lamp Popular,Lighting,99.34,56.01,43.62,True
prod_ad64d881,Conference Table To,Office Furniture,2529.7,1372.17,45.76,True
prod_5aea0ff9,Ergonomic Chair Special,Seating,535.04,354.15,33.81,True
prod_f24c5a18,Storage Cabinet Baby,Storage,341.75,205.73,39.8,True
prod_704502ed,Standing Desk Lose,Workstations,563.8,439.3,22.08,True
prod_de12acd0,Filing Cabinet Join,Storage,335.68,228.3,31.99,True
prod_3cf36411,Keyboard Tray Various,Accessories,100.55,76.96,23.46,True
prod_582de9a4,Storage Cabinet Professional,Storage,584.53,295.15,49.51,True
prod_fe300255,Office Desk Parent,Office Furniture,544.27,378.97,30.37,True
prod_951860a3,Filing Cabinet Day,Storage,342.18,221.24,35.34,True
prod_7a535b91,Cubicle Serious,Workstations,941.21,552.83,41.26,True
