quote_item_id,quotation_id,product_id,quantity,original_price,discount_percentage,discount_amount,final_price,cost_price,margin_amount
qi_35f456c8,quote_54ef1b58,prod_53e1d316,10,258.72,10.26,265.48,2321.72,134.87,973.02
qi_1754145c,quote_4dfedf73,prod_86baf995,8,53.08,12.1,51.39,373.25,37.74,71.33
qi_1b14a60d,quote_cf8de099,prod_ad64d881,1,2529.7,9.34,236.3,2293.4,1372.17,921.23
qi_ebae0d6a,quote_cf8de099,prod_5aea0ff9,8,535.04,11.07,473.89,3806.43,354.15,973.23
qi_16e2f05a,quote_4b041447,prod_035d78fc,5,708.07,7.63,270.21,3270.14,390.29,1318.69
qi_bea80686,quote_5eb73df2,prod_035d78fc,10,708.07,41.81,2960.47,4120.23,390.29,217.33
qi_c2541a03,quote_5eb73df2,prod_aa9c466e,2,192.86,45.31,174.77,210.95,127.52,-44.09
qi_80d93799,quote_5eb73df2,prod_2a053ba0,1,118.08,48.86,57.69,60.39,92.98,-32.59
qi_087b92ba,quote_47add2fc,prod_81feaa25,8,674.35,12.23,659.85,4734.95,337.49,2035.03
qi_fc8c0b4c,quote_47add2fc,prod_039421d7,4,221.39,11.5,101.88,783.68,117.98,311.76
qi_b6c81c8a,quote_62e6b9a4,prod_704502ed,10,563.8,13.47,759.7,4878.3,439.3,485.3
qi_1276c4be,quote_62e6b9a4,prod_aa9c466e,3,192.86,8.41,48.66,529.92,127.52,147.36
qi_02959dd6,quote_582208c6,prod_24ab3fd0,6,528.46,14.54,461.02,2709.74,335.31,697.88
qi_27f5761f,quote_e6cd6420,prod_7a535b91,7,941.21,7.89,520.08,6068.39,552.83,2198.58
qi_9c4c8f10,quote_bf1c3871,prod_81feaa25,8,674.35,9.02,486.45,4908.35,337.49,2208.43
qi_e6a7e251,quote_bf1c3871,prod_4f0226fb,1,126.37,13.82,17.47,108.9,80.07,28.83
qi_20fb65d3,quote_2ff02b98,prod_566c0f49,8,542.11,9.12,395.7,3941.18,424.39,546.06
qi_0547ff9b,quote_2ff02b98,prod_2a053ba0,1,118.08,10.02,11.83,106.25,92.98,13.27
qi_c6a355ac,quote_1f0e4079,prod_b9a67276,5,132.34,9.3,61.51,600.19,72.74,236.49
qi_0202ac2b,quote_1f0e4079,prod_2a053ba0,1,118.08,8.81,10.41,107.67,92.98,14.69
qi_58c6b206,quote_b35782e3,prod_7a535b91,7,941.21,9.13,601.7,5986.77,552.83,2116.96
qi_58c8294e,quote_cd3007e3,prod_1a600b85,6,467.29,10.64,298.45,2505.29,370.35,283.19
qi_1303bf7e,quote_48be5afb,prod_b572f27a,8,234.88,8.93,167.86,1711.18,172.85,328.38
qi_821adc50,quote_e075f963,prod_704502ed,5,563.8,14.94,421.28,2397.72,439.3,201.22
qi_3cccc5b4,quote_accc42d3,prod_2af333ea,10,445.79,4.98,221.98,4235.92,329.4,941.92
qi_67eedb44,quote_f44be986,prod_b2f3a8f7,2,101.33,10.31,20.89,181.77,55.14,71.49
qi_74e0ff6f,quote_1aabbed4,prod_be2be7f1,10,126.81,8.7,110.35,1157.75,96.34,194.35
qi_f89bf921,quote_1aabbed4,prod_039421d7,3,221.39,9.42,62.58,601.59,117.98,247.65
qi_d53f831f,quote_1aabbed4,prod_2a053ba0,1,118.08,10.9,12.88,105.2,92.98,12.22
qi_e6c7566f,quote_1aabbed4,prod_bfb5489d,1,159.47,9.9,15.78,143.69,108.64,35.05
qi_07d9df2d,quote_c579faca,prod_bfb5489d,3,159.47,6.49,31.07,447.34,108.64,121.42
qi_2704887d,quote_c653e02d,prod_ff879477,6,508.47,13.43,409.68,2641.14,374.73,392.76
qi_3228682f,quote_b80ebed4,prod_e1bddf73,9,561.12,12.26,618.93,4431.15,422.73,626.58
qi_2aa31d8a,quote_b80ebed4,prod_c5ca2c8c,1,432.9,7.59,32.88,400.02,232.13,167.89
qi_14d80e19,quote_b80ebed4,prod_2a053ba0,1,118.08,14.15,16.71,101.37,92.98,8.39
qi_384aa809,quote_2c0d9d95,prod_5d2d5599,9,99.34,11.76,105.15,788.91,56.01,284.82
qi_10e68b94,quote_2c0d9d95,prod_5aea0ff9,2,535.04,16.57,177.33,892.75,354.15,184.45
qi_d005e55d,quote_803fecf5,prod_de12acd0,9,335.68,8.52,257.39,2763.73,228.3,709.03
qi_a8c989d3,quote_5745977e,prod_bcde7343,6,103.88,15.77,98.29,524.99,76.74,64.55
qi_488c49f1,quote_8ecd306b,prod_039421d7,2,221.39,15.12,66.95,375.83,117.98,139.87
qi_9f28ed08,quote_2054ff01,prod_b3825ee4,3,2407.95,17.62,1272.9,5950.95,1308.02,2026.89
qi_1dd3a7e4,quote_2054ff01,prod_7afc80e5,9,500.07,10.35,465.73,4034.9,298.76,1346.06
qi_3b32d07c,quote_25ca35eb,prod_b9a67276,10,132.34,10.21,135.06,1188.34,72.74,460.94
qi_0f2fa08d,quote_25ca35eb,prod_1a600b85,2,467.29,11.61,108.5,826.08,370.35,85.38
qi_baf6b13e,quote_25ca35eb,prod_5d2d5599,1,99.34,7.26,7.21,92.13,56.01,36.12
qi_90cf04fe,quote_9c8c0f7e,prod_86baf995,5,53.08,10.65,28.27,237.13,37.74,48.43
qi_35e94df8,quote_20435b8a,prod_308881b9,2,1352.19,12.03,325.44,2378.94,763.26,852.42
qi_69654eb0,quote_eb53c74e,prod_c5ca2c8c,7,432.9,17.44,528.5,2501.8,232.13,876.89
qi_35561498,quote_353f4f73,prod_fe300255,6,544.27,6.31,205.98,3059.64,378.97,785.82
qi_b37a2c9b,quote_ead3c400,prod_770c0c43,2,304.47,5.18,31.53,577.41,153.4,270.61
qi_5bdabab8,quote_87fbe6de,prod_761255b4,1,377.23,10.55,39.81,337.42,238.42,99.0
qi_d1bfa80f,quote_8348e66a,prod_e1bddf73,2,561.12,10.78,120.97,1001.27,422.73,155.81
qi_4c385d82,quote_8348e66a,prod_aa9c466e,1,192.86,12.35,23.81,169.05,127.52,41.53
qi_30fe75ad,quote_8348e66a,prod_b9a67276,1,132.34,6.29,8.32,124.02,72.74,51.28
qi_16dbfc3b,quote_073328fc,prod_951860a3,10,342.18,6.04,206.63,3215.17,221.24,1002.77
qi_74030091,quote_35086c59,prod_b9a67276,2,132.34,10.75,28.46,236.22,72.74,90.74
qi_444ae8dd,quote_35086c59,prod_b572f27a,3,234.88,11.04,77.79,626.85,172.85,108.3
qi_edd0504b,quote_42ee16df,prod_7a535b91,3,941.21,13.68,386.24,2437.39,552.83,778.9
qi_ca3cace8,quote_001ce1be,prod_b572f27a,6,234.88,43.64,614.96,794.32,172.85,-242.78
qi_ce8bb318,quote_b09d5ca0,prod_71507ccd,6,557.35,17.54,586.63,2757.47,361.29,589.73
qi_c475a4d4,quote_b09d5ca0,prod_67da2a8c,1,502.85,15.52,78.06,424.79,390.19,34.6
qi_9c7685dd,quote_b09d5ca0,prod_5d2d5599,1,99.34,11.35,11.27,88.07,56.01,32.06
qi_b5507381,quote_f6554184,prod_7a535b91,8,941.21,6.43,483.86,7045.82,552.83,2623.18
qi_57fcf13a,quote_79935736,prod_035d78fc,2,708.07,11.97,169.51,1246.63,390.29,466.05
qi_d87db59f,quote_79935736,prod_039421d7,3,221.39,7.75,51.45,612.72,117.98,258.78
qi_4d708ae1,quote_a2789295,prod_1a600b85,9,467.29,11.61,488.22,3717.39,370.35,384.24
qi_97befb5b,quote_ea213dac,prod_035d78fc,2,708.07,11.27,159.65,1256.49,390.29,475.91
qi_ad221359,quote_17e2d297,prod_81feaa25,7,674.35,12.82,605.24,4115.21,337.49,1752.78
qi_95a6cfa6,quote_17e2d297,prod_971152aa,5,452.14,9.26,209.43,2051.27,304.85,527.02
