quotation_id,customer_id,sales_rep_id,total_amount,total_discount,total_margin,status,created_at,updated_at
quote_54ef1b58,cust_6449b0f4,rep_4fd63151,2587.2,265.48,973.02,CONVERTED,2025-12-12 12:10:05.601026,2026-01-06 12:10:05.601026
quote_4dfedf73,cust_bc936013,rep_f976f2b3,424.64,51.39,71.33,CONVERTED,2025-10-02 23:10:05.601026,2025-10-06 23:10:05.601026
quote_cf8de099,cust_a1d12aca,rep_221b7f39,6810.02,710.19,1894.46,REJECTED,2026-03-29 21:10:05.601026,2026-04-01 21:10:05.601026
quote_4b041447,cust_b957ff58,rep_26645e7c,3540.35,270.21,1318.69,CONVERTED,2026-05-30 18:10:05.601026,2026-06-19 18:10:05.601026
quote_5eb73df2,cust_fa1faded,rep_76071164,7584.5,3192.94,140.64,CONVERTED,2025-10-13 11:10:05.601026,2025-11-08 11:10:05.601026
quote_47add2fc,cust_db6dac0a,rep_e08a1589,6280.36,761.72,2346.8,EXPIRED,2026-07-07 05:10:05.601026,2026-07-23 05:10:05.601026
quote_62e6b9a4,cust_4d188ce5,rep_d5902688,6216.58,808.36,632.66,EXPIRED,2026-01-11 06:10:05.601026,2026-01-17 06:10:05.601026
quote_582208c6,cust_802f59e0,rep_03d99ec4,3170.76,461.02,697.88,CONVERTED,2026-07-27 21:10:05.601026,2026-08-10 21:10:05.601026
quote_e6cd6420,cust_b2c27d93,rep_221b7f39,6588.47,520.08,2198.58,CONVERTED,2026-02-13 14:10:05.601026,2026-03-13 14:10:05.601026
quote_bf1c3871,cust_6449b0f4,rep_f976f2b3,5521.17,503.92,2237.26,EXPIRED,2025-12-18 14:10:05.601026,2026-01-10 14:10:05.601026
quote_2ff02b98,cust_709f2029,rep_221b7f39,4454.96,407.53,559.33,REJECTED,2026-04-29 09:10:05.601026,2026-05-15 09:10:05.601026
quote_1f0e4079,cust_5fb65258,rep_e08a1589,779.78,71.92,251.18,CONVERTED,2026-04-05 16:10:05.601026,2026-04-24 16:10:05.601026
quote_b35782e3,cust_4d188ce5,rep_26645e7c,6588.47,601.7,2116.96,EXPIRED,2026-01-06 00:10:05.601026,2026-01-08 00:10:05.601026
quote_cd3007e3,cust_6bebe3ea,rep_4fd63151,2803.74,298.45,283.19,REJECTED,2026-05-16 07:10:05.601026,2026-06-13 07:10:05.601026
quote_48be5afb,cust_57020bdd,rep_4fd63151,1879.04,167.86,328.38,CONVERTED,2026-04-03 02:10:05.601026,2026-04-29 02:10:05.601026
quote_e075f963,cust_405b3327,rep_f976f2b3,2819.0,421.28,201.22,CONVERTED,2026-07-18 08:10:05.601026,2026-07-22 08:10:05.601026
quote_accc42d3,cust_5e885041,rep_b548fdfc,4457.9,221.98,941.92,CONVERTED,2026-04-13 10:10:05.601026,2026-05-05 10:10:05.601026
quote_f44be986,cust_4604301d,rep_f976f2b3,202.66,20.89,71.49,REJECTED,2026-05-01 15:10:05.601026,2026-05-16 15:10:05.601026
quote_1aabbed4,cust_322bbdef,rep_26645e7c,2209.82,201.59,489.27,EXPIRED,2026-03-20 21:10:05.601026,2026-04-19 21:10:05.601026
quote_c579faca,cust_cf13c2af,rep_b548fdfc,478.41,31.07,121.42,CONVERTED,2025-12-27 02:10:05.601026,2026-01-17 02:10:05.601026
quote_c653e02d,cust_4c4e219c,rep_b548fdfc,3050.82,409.68,392.76,CONVERTED,2026-04-05 11:10:05.601026,2026-04-22 11:10:05.601026
quote_b80ebed4,cust_8035f667,rep_26645e7c,5601.06,668.52,802.86,REJECTED,2026-08-18 05:10:05.601026,2026-09-09 05:10:05.601026
quote_2c0d9d95,cust_16c62d60,rep_221b7f39,1964.14,282.47,469.28,CONVERTED,2026-08-16 13:10:05.601026,2026-08-31 13:10:05.601026
quote_803fecf5,cust_5471fb8a,rep_71ed5975,3021.12,257.39,709.03,CONVERTED,2026-03-14 03:10:05.601026,2026-03-28 03:10:05.601026
quote_5745977e,cust_b8d41557,rep_b548fdfc,623.28,98.29,64.55,CONVERTED,2025-12-25 20:10:05.601026,2025-12-29 20:10:05.601026
quote_8ecd306b,cust_56f06fa7,rep_b548fdfc,442.78,66.95,139.87,CONVERTED,2026-01-07 10:10:05.601026,2026-02-03 10:10:05.601026
quote_2054ff01,cust_405b3327,rep_e08a1589,11724.48,1738.62,3372.96,REJECTED,2025-12-03 09:10:05.601026,2025-12-04 09:10:05.601026
quote_25ca35eb,cust_a1d12aca,rep_221b7f39,2357.32,250.77,582.44,CONVERTED,2026-05-06 20:10:05.601026,2026-05-16 20:10:05.601026
quote_9c8c0f7e,cust_6cd93739,rep_221b7f39,265.4,28.27,48.43,EXPIRED,2026-02-17 01:10:05.601026,2026-03-09 01:10:05.601026
quote_20435b8a,cust_1ba4a61c,rep_e08a1589,2704.38,325.44,852.42,EXPIRED,2026-04-25 22:10:05.601026,2026-05-19 22:10:05.601026
quote_eb53c74e,cust_5199088a,rep_71ed5975,3030.3,528.5,876.89,REJECTED,2026-03-28 19:10:05.601026,2026-04-08 19:10:05.601026
quote_353f4f73,cust_5fb65258,rep_221b7f39,3265.62,205.98,785.82,REJECTED,2025-10-18 08:10:05.601026,2025-11-05 08:10:05.601026
quote_ead3c400,cust_3880925b,rep_03d99ec4,608.94,31.53,270.61,CONVERTED,2025-10-01 15:10:05.601026,2025-10-20 15:10:05.601026
quote_87fbe6de,cust_36b3c9ac,rep_76071164,377.23,39.81,99.0,EXPIRED,2026-07-21 01:10:05.601026,2026-08-10 01:10:05.601026
quote_8348e66a,cust_1ff5ebdc,rep_f976f2b3,1447.44,153.11,248.61,REJECTED,2025-12-06 10:10:05.601026,2025-12-21 10:10:05.601026
quote_073328fc,cust_83055eb2,rep_d5902688,3421.8,206.63,1002.77,EXPIRED,2025-10-18 07:10:05.601026,2025-10-20 07:10:05.601026
quote_35086c59,cust_cf13c2af,rep_71ed5975,969.32,106.24,199.05,REJECTED,2026-04-05 14:10:05.601026,2026-04-22 14:10:05.601026
quote_42ee16df,cust_1311cb1a,rep_f976f2b3,2823.63,386.24,778.9,CONVERTED,2025-12-18 15:10:05.601026,2026-01-12 15:10:05.601026
quote_001ce1be,cust_6cd93739,rep_03d99ec4,1409.28,614.96,-242.78,CONVERTED,2025-09-26 19:10:05.601026,2025-10-15 19:10:05.601026
quote_b09d5ca0,cust_ce1f66a4,rep_d5902688,3946.29,675.97,656.38,REJECTED,2026-03-29 22:10:05.601026,2026-04-05 22:10:05.601026
quote_f6554184,cust_fa1faded,rep_d5902688,7529.68,483.86,2623.18,REJECTED,2025-11-23 02:10:05.601026,2025-12-08 02:10:05.601026
quote_79935736,cust_fb37096e,rep_d5902688,2080.31,220.96,724.83,REJECTED,2026-02-18 02:10:05.601026,2026-02-21 02:10:05.601026
quote_a2789295,cust_8bb8f56a,rep_d5902688,4205.61,488.22,384.24,REJECTED,2026-07-06 22:10:05.601026,2026-08-01 22:10:05.601026
quote_ea213dac,cust_cf13c2af,rep_71ed5975,1416.14,159.65,475.91,REJECTED,2026-05-19 10:10:05.601026,2026-05-22 10:10:05.601026
quote_17e2d297,cust_9f854076,rep_d5902688,7357.95,842.77,2400.65,EXPIRED,2025-11-25 17:10:05.601026,2025-12-13 17:10:05.601026
quote_296a8bf3,cust_cf13c2af,rep_4fd63151,4118.46,355.06,752.8,REJECTED,2026-02-22 08:10:05.601026,2026-03-04 08:10:05.601026
quote_9389feae,cust_c56c6575,rep_76071164,1236.82,118.15,446.27,REJECTED,2025-10-23 02:10:05.601026,2025-11-17 02:10:05.601026
quote_82536009,cust_8cdf7d4e,rep_76071164,9412.1,1351.63,2532.17,REJECTED,2026-06-01 07:10:05.601026,2026-06-06 07:10:05.601026
quote_b6b0f373,cust_3f9d4565,rep_f976f2b3,831.04,98.7,118.42,CONVERTED,2026-04-03 17:10:05.601026,2026-04-23 17:10:05.601026
quote_3b9ffe8b,cust_7f9dd2bf,rep_e08a1589,405.32,30.11,154.65,CONVERTED,2026-03-19 22:10:05.601026,2026-04-14 22:10:05.601026
quote_9cf222fa,cust_12ae9a83,rep_221b7f39,515.1,40.46,163.44,EXPIRED,2025-11-26 14:10:05.601026,2025-12-25 14:10:05.601026
quote_5ae1a61d,cust_0b27ce82,rep_03d99ec4,865.8,83.36,318.18,EXPIRED,2025-10-16 17:10:05.601026,2025-11-12 17:10:05.601026
quote_d95c5c0b,cust_f4e1755e,rep_71ed5975,623.98,242.35,-117.15,EXPIRED,2026-04-23 01:10:05.601026,2026-05-20 01:10:05.601026
quote_bc5facd1,cust_322bbdef,rep_221b7f39,2680.87,260.14,780.55,CONVERTED,2025-09-29 13:10:05.601026,2025-10-18 13:10:05.601026
quote_7b65001c,cust_1ba4a61c,rep_b548fdfc,1568.29,226.59,448.62,CONVERTED,2025-10-09 22:10:05.601026,2025-10-18 22:10:05.601026
quote_2625d639,cust_88dc3738,rep_b548fdfc,4022.8,505.63,395.65,REJECTED,2026-06-11 16:10:05.601026,2026-07-04 16:10:05.601026
quote_11948019,cust_f6647730,rep_f976f2b3,7162.86,976.44,1251.79,REJECTED,2025-12-16 07:10:05.601026,2026-01-13 07:10:05.601026
quote_e5f8d983,cust_41d19430,rep_71ed5975,7235.44,1170.13,2328.35,REJECTED,2026-03-21 16:10:05.601026,2026-04-02 16:10:05.601026
quote_22182e12,cust_ce1f66a4,rep_d5902688,3743.67,580.41,1015.93,REJECTED,2025-12-06 23:10:05.601026,2025-12-18 23:10:05.601026
quote_e83532cb,cust_bc936013,rep_f976f2b3,1137.33,115.85,300.85,REJECTED,2025-10-14 03:10:05.601026,2025-10-19 03:10:05.601026
quote_56b343f5,cust_fb37096e,rep_b548fdfc,7452.77,973.95,1714.18,REJECTED,2026-03-09 18:10:05.601026,2026-03-26 18:10:05.601026
quote_dea2d4d9,cust_3e2b9a91,rep_71ed5975,2060.1,276.19,587.31,EXPIRED,2026-05-28 18:10:05.601026,2026-06-22 18:10:05.601026
quote_ecd73996,cust_b8d41557,rep_71ed5975,1879.04,226.5,269.74,CONVERTED,2025-12-16 09:10:05.601026,2025-12-22 09:10:05.601026
quote_6f5d5c09,cust_5329889c,rep_4fd63151,1500.21,229.19,374.74,CONVERTED,2026-03-09 22:10:05.601026,2026-03-17 22:10:05.601026
quote_f03eda0d,cust_1d7b20af,rep_03d99ec4,4457.9,380.88,783.02,REJECTED,2026-05-08 22:10:05.601026,2026-05-11 22:10:05.601026
quote_10ac180a,cust_9f854076,rep_b548fdfc,1508.55,154.56,183.42,REJECTED,2025-11-09 23:10:05.601026,2025-11-23 23:10:05.601026
quote_717c58ea,cust_db6dac0a,rep_4fd63151,590.4,71.2,54.3,CONVERTED,2026-02-18 04:10:05.601026,2026-03-18 04:10:05.601026
quote_5ff3cb2e,cust_db6dac0a,rep_d5902688,1310.68,67.66,287.56,CONVERTED,2026-07-11 16:10:05.601026,2026-08-07 16:10:05.601026
quote_b14fb616,cust_4ba29bc8,rep_76071164,2113.84,181.46,591.14,CONVERTED,2026-02-01 02:10:05.601026,2026-02-27 02:10:05.601026
quote_3af2491b,cust_d1ed441a,rep_b548fdfc,603.3,80.04,61.5,REJECTED,2026-07-12 10:10:05.601026,2026-08-05 10:10:05.601026
quote_ce536a4d,cust_1ff88c64,rep_221b7f39,2069.76,162.56,828.24,REJECTED,2026-02-15 13:10:05.601026,2026-02-23 13:10:05.601026
quote_0f315245,cust_275958e1,rep_03d99ec4,7864.08,946.74,1184.58,CONVERTED,2026-01-10 11:10:05.601026,2026-01-17 11:10:05.601026
quote_f7b6eaf2,cust_b2c27d93,rep_26645e7c,5513.04,535.17,1873.06,REJECTED,2025-12-25 00:10:05.601026,2026-01-08 00:10:05.601026
quote_63b1765b,cust_88dc3738,rep_03d99ec4,3301.83,430.52,990.03,EXPIRED,2025-10-02 00:10:05.601026,2025-10-29 00:10:05.601026
quote_47e9f4ea,cust_5199088a,rep_76071164,1237.32,128.05,379.59,CONVERTED,2026-03-11 10:10:05.601026,2026-03-28 10:10:05.601026
quote_b41f74fd,cust_94257e9c,rep_76071164,4576.88,568.98,1024.6,CONVERTED,2026-06-04 21:10:05.601026,2026-06-23 21:10:05.601026
quote_de95be28,cust_8035f667,rep_26645e7c,1648.08,246.95,443.85,CONVERTED,2025-09-22 00:10:05.601026,2025-09-23 00:10:05.601026
quote_e50ca031,cust_3752d640,rep_4fd63151,2734.0,299.46,788.7,REJECTED,2026-05-28 12:10:05.601026,2026-06-14 12:10:05.601026
quote_c7a78ae6,cust_405b3327,rep_b548fdfc,1678.4,170.58,366.32,REJECTED,2026-08-18 05:10:05.601026,2026-09-07 05:10:05.601026
quote_3dfa373d,cust_322bbdef,rep_e08a1589,3463.2,385.52,1220.64,REJECTED,2025-12-21 04:10:05.601026,2026-01-02 04:10:05.601026
quote_4c48de45,cust_1ff5ebdc,rep_4fd63151,201.1,30.07,17.11,REJECTED,2026-01-31 07:10:05.601026,2026-02-12 07:10:05.601026
quote_6231e6e2,cust_c56c6575,rep_e08a1589,1869.16,145.94,241.82,REJECTED,2025-11-14 09:10:05.601026,2025-11-22 09:10:05.601026
quote_a9de3004,cust_715a01aa,rep_03d99ec4,2744.06,306.97,285.51,CONVERTED,2026-02-22 04:10:05.601026,2026-03-01 04:10:05.601026
quote_66398fbb,cust_fa1faded,rep_03d99ec4,4828.43,469.44,766.19,REJECTED,2025-12-04 07:10:05.601026,2025-12-15 07:10:05.601026
quote_6fffde49,cust_94257e9c,rep_71ed5975,717.69,69.51,253.53,CONVERTED,2026-01-22 12:10:05.601026,2026-02-15 12:10:05.601026
